UtcTime                Unnamed: 0              Keywords    SeverityValue  EventReceivedTime      EventID    ExecutionProcessID  Channel                               host                         ThreadID  EventType    Opcode    EventTime            Message                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  @timestamp                SourceModuleType      port    RecordNumber    Task    @version  SourceModuleName    Severity    SourceName                Category                                                tags               Hostname                     ProviderGuid                            AccountType      ActivityID  UserID    AccountName      Payload  Domain          OpcodeValue    ERROR_EVT_UNRESOLVED    ContextInfo    Version  TargetObject                                                                                                                EventTypeOrignal    ProcessGuid                             Image                                                                                                                                 RuleName      Application    ProcessId    FilterRTID    LayerRTID  Protocol      SourcePort    LayerName    SourceAddress    RemoteUserID    Direction    DestPort    DestAddress    RemoteMachineID  SourceImage                      SourceProcessGUID                       TargetImage                                                                                                      GrantedAccess      SourceProcessId    SourceThreadId  TargetProcessGUID                         TargetProcessId  CallTrace                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     SubjectDomainName    SubjectUserSid    TargetLogonId    EnabledPrivilegeList    SubjectLogonId    ProcessName    SubjectUserName    DisabledPrivilegeList    TargetUserName    TargetUserSid    TargetDomainName    MandatoryLabel    ParentProcessName    CommandLine    NewProcessName    TokenElevationType    NewProcessId    SourceHandleId    TargetHandleId    ObjectServer    HandleId    TransactionId    AccessMask    ObjectName    ObjectType    AccessReason    PrivilegeList    AccessList    RestrictedSidCount    ResourceAttributes    Service    param1    param2    MessageNumber    ScriptBlockText    MessageTotal    ScriptBlockId    Path    ServiceName    TicketEncryptionType    IpAddress    ServiceSid    TicketOptions    IpPort  TargetFilename                                        CreationUtcTime          SourcePortName      DestinationPort  User                 SourceHostname    DestinationIp    SourceIp       DestinationIsIpv6    Initiated    SourceIsIpv6  DestinationPortName    DestinationHostname      Operation    ClientCreationTime    KeyType    ClientProcessId    AlgorithmName    ReturnCode    ProviderName    KeyName    KeyFilePath    PipeName    LogonGuid    TransmittedServices    Status    LogonType    VirtualAccount    AuthenticationPackageName    LmPackageName    ImpersonationLevel    ElevatedToken    WorkstationName    TargetOutboundUserName    TargetOutboundDomainName    LogonProcessName    KeyLength    TargetLinkedLogonId    RestrictedAdminMode    EventIdx    GroupMembership    EventCountTotal    ShareName  ImageLoaded                                                                                                              Signed  SignatureStatus    Hashes                                                                                                                                                                                               Description                        Company                FileVersion                          Signature              Product                               OriginalFileName             Details                          RelativeTargetName    MiniportNameLen    MiniportName    param4    param3    IsExecutable    Archived    ParentImage    CurrentDirectory    IntegrityLevel    TerminalSessionId    ParentProcessGuid    ParentCommandLine    ParentProcessId    LogonId    TaskName    Priority    Device    QueryResults    QueryName    QueryStatus    EventID_1    EventID_2    EventID_3    EventID_12    EventID_13    EventID_14    num_unique_IDs
-------------------  ------------  --------------------  ---------------  -------------------  ---------  --------------------  ------------------------------------  -------------------------  ----------  -----------  --------  -------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ------------------------  ------------------  ------  --------------  ------  ----------  ------------------  ----------  ------------------------  ------------------------------------------------------  -----------------  ---------------------------  --------------------------------------  -------------  ------------  --------  -------------  ---------  ------------  -------------  ----------------------  -------------  ---------  --------------------------------------------------------------------------------------------------------------------------  ------------------  --------------------------------------  ------------------------------------------------------------------------------------------------------------------------------------  ----------  -------------  -----------  ------------  -----------  ----------  ------------  -----------  ---------------  --------------  -----------  ----------  -------------  -----------------  -------------------------------  --------------------------------------  ---------------------------------------------------------------------------------------------------------------  ---------------  -----------------  ----------------  --------------------------------------  -----------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -------------------  ----------------  ---------------  ----------------------  ----------------  -------------  -----------------  -----------------------  ----------------  ---------------  ------------------  ----------------  -------------------  -------------  ----------------  --------------------  --------------  ----------------  ----------------  --------------  ----------  ---------------  ------------  ------------  ------------  --------------  ---------------  ------------  --------------------  --------------------  ---------  --------  --------  ---------------  -----------------  --------------  ---------------  ------  -------------  ----------------------  -----------  ------------  ---------------  --------  ----------------------------------------------------  -----------------------  ----------------  -----------------  -------------------  ----------------  ---------------  -----------  -------------------  -----------  --------------  ---------------------  ---------------------  -----------  --------------------  ---------  -----------------  ---------------  ------------  --------------  ---------  -------------  ----------  -----------  ---------------------  --------  -----------  ----------------  ---------------------------  ---------------  --------------------  ---------------  -----------------  ------------------------  --------------------------  ------------------  -----------  ---------------------  ---------------------  ----------  -----------------  -----------------  -----------  ---------------------------------------------------------------------------------------------------------------------  --------  -----------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------------------------------  ---------------------  -----------------------------------  ---------------------  ------------------------------------  ---------------------------  -----------------------------  --------------------  -----------------  --------------  --------  --------  --------------  ----------  -------------  ------------------  ----------------  -------------------  -------------------  -------------------  -----------------  ---------  ----------  ----------  --------  --------------  -----------  -------------  -----------  -----------  -----------  ------------  ------------  ------------  ----------------
2020-09-22 07:45:12            11  -9223372036854775808                2  2020-09-22 03:45:15         12                  3392  Microsoft-Windows-Sysmon/Operational  wec.internal.cloudapp.net        5552  nan          Info      2020-09-22 03:45:13  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2020-09-22T07:45:15.427Z  im_msvistalog        64545         3765713      12           1  eventlog            INFO        Microsoft-Windows-Sysmon  Registry object added or deleted (rule: RegistryEvent)  ['mordorDataset']  WORKSTATION6.theshire.local  {5770385F-C22A-43E0-BF4C-06F5698FFBD9}  User                    nan  S-1-5-18  SYSTEM               nan  NT AUTHORITY              0                     nan            nan          2  HKU\S-1-5-19\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Wpad                                               INFO                {d273d0f0-e86c-5f64-3f00-000000000800}  C:\windows\system32\svchost.exe                                                                                                       -                     nan            0           nan          nan  nan                  nan          nan              nan             nan          nan         nan            nan                nan  nan                              nan                                     nan                                                                                                              nan                            nan               nan  nan                                                   nan  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         nan               nan              nan                     nan               nan            nan                nan                      nan               nan              nan                 nan               nan                  nan            nan               nan                   nan             nan               nan               nan             nan         nan              nan           nan           nan           nan             nan              nan           nan                   nan                   nan        nan       nan       nan              nan                nan             nan              nan     nan            nan                     nan          nan           nan              nan       nan  nan                                                   nan                      nan                             nan  nan                  nan               nan              nan                          nan          nan             nan  nan                    nan                            nan                   nan        nan                nan              nan           nan             nan        nan            nan         nan          nan                    nan       nan          nan               nan                          nan              nan                   nan              nan                nan                       nan                         nan                 nan          nan                    nan                    nan         nan                nan                nan          nan  nan                                                                                                                         nan  nan                nan                                                                                                                                                                                                  nan                                nan                    nan                                  nan                    nan                                   nan                          nan                                             nan                nan             nan       nan       nan             nan         nan            nan                 nan               nan                  nan                  nan                  nan                nan        nan         nan         nan       nan             nan          nan            nan            0            0            0             0             0             0                 1
2020-09-22 07:45:13            16  -9223372036854775808                2  2020-09-22 03:45:16         12                  3172  Microsoft-Windows-Sysmon/Operational  wec.internal.cloudapp.net        4048  nan          Info      2020-09-22 03:45:13  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2020-09-22T07:45:16.443Z  im_msvistalog        64545         3343471      12           1  eventlog            INFO        Microsoft-Windows-Sysmon  Registry object added or deleted (rule: RegistryEvent)  ['mordorDataset']  WORKSTATION5.theshire.local  {5770385F-C22A-43E0-BF4C-06F5698FFBD9}  User                    nan  S-1-5-18  SYSTEM               nan  NT AUTHORITY              0                     nan            nan          2  HKU\S-1-5-21-4228717743-1032521047-1810997296-1104\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Connections  INFO                {b34bc01c-a92a-5f69-7e02-000000000900}  C:\windows\System32\WindowsPowerShell\v1.0\powershell.exe                                                                             -                     nan            0           nan          nan  nan                  nan          nan              nan             nan          nan         nan            nan                nan  nan                              nan                                     nan                                                                                                              nan                            nan               nan  nan                                                   nan  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         nan               nan              nan                     nan               nan            nan                nan                      nan               nan              nan                 nan               nan                  nan            nan               nan                   nan             nan               nan               nan             nan         nan              nan           nan           nan           nan             nan              nan           nan                   nan                   nan        nan       nan       nan              nan                nan             nan              nan     nan            nan                     nan          nan           nan              nan       nan  nan                                                   nan                      nan                             nan  nan                  nan               nan              nan                          nan          nan             nan  nan                    nan                            nan                   nan        nan                nan              nan           nan             nan        nan            nan         nan          nan                    nan       nan          nan               nan                          nan              nan                   nan              nan                nan                       nan                         nan                 nan          nan                    nan                    nan         nan                nan                nan          nan  nan                                                                                                                         nan  nan                nan                                                                                                                                                                                                  nan                                nan                    nan                                  nan                    nan                                   nan                          nan                                             nan                nan             nan       nan       nan             nan         nan            nan                 nan               nan                  nan                  nan                  nan                nan        nan         nan         nan       nan             nan          nan            nan            0            0            0             0             0             0                 1
2020-09-22 07:45:15           448  -9223372036854775808                2  2020-09-22 03:45:16         12                  3172  Microsoft-Windows-Sysmon/Operational  wec.internal.cloudapp.net        4048  nan          Info      2020-09-22 03:45:15  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2020-09-22T07:45:16.603Z  im_msvistalog        64545         3343478      12           1  eventlog            INFO        Microsoft-Windows-Sysmon  Registry object added or deleted (rule: RegistryEvent)  ['mordorDataset']  WORKSTATION5.theshire.local  {5770385F-C22A-43E0-BF4C-06F5698FFBD9}  User                    nan  S-1-5-18  SYSTEM               nan  NT AUTHORITY              0                     nan            nan          2  HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\VolatileNotifications\41C64E6DA3C83055                                    INFO                {b34bc01c-226b-5f69-1000-000000000900}  C:\windows\system32\svchost.exe                                                                                                       -                     nan            0           nan          nan  nan                  nan          nan              nan             nan          nan         nan            nan                nan  nan                              nan                                     nan                                                                                                              nan                            nan               nan  nan                                                   nan  nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         nan               nan              nan                     nan               nan            nan                nan                      nan               nan              nan                 nan               nan                  nan            nan               nan                   nan             nan               nan               nan             nan         nan              nan           nan           nan           nan             nan              nan           nan                   nan                   nan        nan       nan       nan              nan                nan             nan              nan     nan            nan                     nan          nan           nan              nan       nan  nan                                                   nan                      nan                             nan  nan                  nan               nan              nan                          nan          nan             nan  nan                    nan                            nan                   nan        nan                nan              nan           nan             nan        nan            nan         nan          nan                    nan       nan          nan               nan                          nan              nan                   nan              nan                nan                       nan                         nan                 nan          nan                    nan                    nan         nan                nan                nan          nan  nan                                                                                                                         nan  nan                nan                                                                                                                                                                                                  nan                                nan                    nan                                  nan                    nan                                   nan                          nan                                             nan                nan             nan       nan       nan             nan         nan            nan                 nan               nan                  nan                  nan                  nan                nan        nan         nan         nan       nan             nan          nan            nan            0            0            0             0             0             0                 1
